POKEYPIG 
--------
C1, C2			100UF ELECTROLYTIC CAPACITOR
C3, C6, C7, 		100NF CERAMIC CAPACITOR
C8, C11, C12, C13 	100NF CERAMIC CAPACITOR
C4, C5                  33PF CERAMIC CAPACITOR
C9, C10			4U7
D1        		1N4148 SMALL SIGNAL DIODE 
D2, D3, D4, D5		1N4004 RECTIFIER DIODE
IC1       		ATMEGA328P DIP-28 (SOCKETED)
IC2, IC3       		CO12294 'POKEY' DIP-40 (SOCKETED)
IC4       		6N138 OPTO ISOLATOR
X1                      16MHZ CRYSTAL
REG1      		7805 REGULATOR TO-220
LED1, LED2, LED3        3MM LED RECTANGULAR             
OSC1      		2MHZ TTL-OUTPUT CRYSTAL OSCILLATOR

R1			220 OHM      
R6, R7			470 OHM           
R4, R10, R11		1K OHM                       
R2, R3			1.5K OHM                       
R5			10K OHM
R8, R9      		100K OHM

LEVELA, LEVELB		MINIATURE (9MM) PCB MOUNT POT 100K OHM WITH KNOB

POWER SWITCH       	2P2T LATCHING PUSH BUTTON SWITCH + CAP
MODE                    PCB MOUNT VERTICAL MOMENTARY SWITCH + CAP

SERIAL	  		6 WAY RIGHT ANGLE SIL HEADER
JP3			3 PIN SIL HEADER WITH 2 PIN JUMPER        
POWER SOCKET	  	2.1MM DC JACK (SWITCHING)
MIDI IN 		PANEL MOUNT 5 PIN DIN SOCKET



(10 OFF) M3 x 8MM ALLEN HEAD MACHINE SCREW
(4 OFF) M3 X 12MM ALLEN HEAD MACHINE SCREW
(7 OFF) M3 NUT




